73	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANEAMIENTO	RAURA								4	4	4	4	5	4	4	4	5	5	4	5	4	4	5	4	5	4	4	4	5	4	4	4	5	4	4	4	4	4				Deben compartir los accidentes, incidentes
74	Con personal a cargo	2. Supervisores	TITULAR MINERO	PLANEAMIENTO	RAURA								2	3	4	3	3	3	4	3	2	5	5	5	3	5	5	2	5	5	5	5	5	5	5	4	4	4	4	4	4	4				
75	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANEAMIENTO	RAURA								2	4	1	3	2	2	1	1	1	4	5	5	2	3	4	1	3	3	2	1	1	1	1	2	2	2	1	1	5	5				El no tener exceso de confianza
76	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANEAMIENTO	RAURA								3	3	4	4	4	4	4	4	4	4	5	5	5	5	5	5	4	4	4	3	4	4	3	1	4	4	4	4	1	1				
77	Sin personal a cargo	4. Operadores	TITULAR MINERO	PLANEAMIENTO	RAURA								4	4	5	5	4	4	3	3	4	5	5	5	4	5	4	2	4	3	3	4	4	3	1	4	2	2	3	2	5	5				Saber como cuidar el bienestar de tu familia
78	Con personal a cargo	2. Supervisores	TITULAR MINERO	PROYECTOS	RAURA								4	4	3	4	4	4	4	4	4	3	5	5	4	5	4	5	4	4	4	4	4	4	4	4	4	4	4	4	5	5				Intento cumplir estandares en casa
79	Sin personal a cargo	1. Ingenieros	TITULAR MINERO	PROYECTOS	RAURA								5	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5	5	5	5	5	5	5	4	5	5				Tengo zonas señalizadas en casa
80	Sin personal a cargo	1. Ingenieros	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								5	5	5	5	5	5	5	5	5	3	4	5	5	5	5	5	5	5	5	3	5	5	4	5	5	5	5	5	3	3				
81	Sin personal a cargo	1. Ingenieros	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	4	5	4	4	4	5	5	4	4	5	5	4	4	5	5	4	4	4	4	5	4	5	4	4	4	5	4	4	4				Las vias de salida muchas veces no stan libres
82	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	4	5	5	3	4	5	4	4	2	5	5	4	5	4	4	4	4	3	3	2	3	3	3	3	4	1	3	3	3				
83	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	2	3	4	4	4	4	3	5	4	5	5	4	3	3	3	3	3	3	3	2	4	3	3	2	2	2	3	5	5				
84	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								3	5	4	4	5	4	3	2	5	4	5	5	4	4	4	3	5	5	4	2	3	2	4	4	5	4	3	4	4	4				Siempre ver primero nuestra integridad
85	Sin personal a cargo	1. Ingenieros	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	5	4	5	5	5	4	5	5	4	5	5	5	5	5	4	4	4	4	5	3	3	3	5	5	3	3	4	5	5				
86	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	3	4	3	4	4	4	4	3	4	3	4	5	5	4	4	5	4	4	5	4	4	4	4	3	3	3	4	4	4				
87	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	4	4	4	2	3	3	3	4	5	5	5	3	4	4	5	5	4	4	4	2	4	2	1	4	4	2	2	5	5				
88	Sin personal a cargo	2. Asistentes	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	5	5	5	5	5	5	5	5	5	4	5	4	4	4	5	4	5	4	4	5	5	5	5	5	4	5	5	5	5				La seguridad es muy importante y debemos practicarlo ya sea en el trabajo como en la vida cotidiana
89	Sin personal a cargo	1. Ingenieros	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	4	4	5	4	4	4	4	4	5	4	5	5	4	5	4	5	4	4	2	4	4	4	5	4	4	5	4	4	4				Siempre comunicamos un peligro que puede existir
90	Con personal a cargo	2. Jefes de Zona	EMPRESA CONTRATISTA MINERA	MINA	UNITEC								4	4	4	5	4	5	4	5	4	5	5	5	5	3	5	5	4	4	3	4	4	5	3	4	3	4	4	4	5	5				Siempre se realizan los trabajaos con seguridad
91	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								5	5	5	1	5	5	5	5	5	5	5	5	5	5	5	5	5	1	1	5	5	5	5	5	5	5	5	5	5	5				
92	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	3	3	1	3	4	2	4	2	5	5	5	4	5	3	2	2	3	4	3	2	2	2	2	3	3	3	2	2	2				
93	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	2	2	1	3	4	3	2	3	2	3	2	3	2	3	2	3	3	2	3	3	2	2	2	4	3	3	3	3	3				Donde quiera que vamos es con seguridad
94	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	3	2	3	2	3	3	3	3	5	5	5	3	4	4	2	2	2	3	1	2	2	1	2	2	2	3	2	4	4				
95	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								3	2	3	3	3	2	3	3	3	2	4	4	3	4	3	3	4	3	4	3	2	2	3	3	3	2	3	2	4	4				
96	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	3	4	3	4	4	4	4	5	5	4	4	5	4	4	3	4	3	4	4	2	3	2	3	4	5	3	3	5	5				
97	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	2	4	3	2	2	2	2	2	3	3	3	3	3	3	3				Tenemos que mejorar cada dia
98	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	2	2	1	2	3	3	2	2	3	4	4	4	3	4	2	3	3	2	3	3	2	1	4	3	4	4	3	4	4				Donde sea que vamos, siempre con seguirdad
99	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								4	3	4	4	4	5	5	4	5	5	5	5	5	5	5	4	5	4	5	3	5	4	3	5	3	5	4	3	3	3				
100	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	5	4	3	3	3	3	3	3	3	4	5	4	4	3	3	4	4	3	3	3	2	2	4	3	4	3	2	4	4				Si al momento de bajar las escaleras y manipular los artefactos
101	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								1	1	1	1	3	3	3	3	3	3	3	5	3	3	1	1	3	2	5	1	1	1	2	5	3	1	1	1	1	1				
102	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								1	1	3	2	2	2	1	1	1	4	4	5	4	2	3	1	2	1	2	1	1	1	3	1	2	4	4	4	4	4				
103	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								3	1	2	3	3	3	3	3	3	4	3	4	4	4	2	3	3	4	4	4	4	4	4	4	4	4	4	4	5	5				Los de compañia obligan la seguridad cuando sus trabajadores no lo hacen
104	Sin personal a cargo	4. Operadores	EMPRESA CONTRATISTA MINERA	MINA	AESA								2	2	3	2	3	3	3	3	4	4	5	5	2	4	3	4	2	4	5	3	3	4	4	5	5	4	4	3	5	5				
